ファイル名,Rawテキスト
R_Fallout76 2023_10_09 10_15_42.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 16H ワトガ・ハイスクール プブラッドイーグル 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_10_10 9_33_17.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション Vault 94 敵派閥 カルト教信者 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_10_11 8_07_26.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 18H ウエストテック研究センター スコーチ . 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_10_13 7_52_33.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 カルト教信者 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_10_19 9_53_03.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 17H WO-X ロボット 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_10_21 8_13_34.png,"情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 鋭い視線(デフォルト) レベル50以上 18H アークトス・ファーマ生態群研究所 カルト教信者 , Perceptionが大幅に増加する"
R_Fallout76 2023_10_23 14_26_25.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 12H ウエストテック研究センター 共産党員 ) 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_10_25 8_24_16.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 18H ガラハン鉱業本社 =とリリッン 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_10_26 7_29_13.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H =レルニンレス ウエストテック研究センター 敵派閥 共産党員 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_10_27 8_21_52.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 18H モーガンタウン・ハイスクール スコーチ 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_10_30 7_55_26.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション 燃え盛る鉱山 敵派閥 プラッドイーグル 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_01 9_51_30.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション ガラハン鉱業本社 TRA スーパーミュータント | BER 不安定 死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_03 9_11_53.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER スウィフト・ストーカー(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 17H Vault 96 プラッドイーグル クローク能力があり、 素早い 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_04 10_06_10.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 鋭い視線(デフォルト) レベル50以上 16H 燃え盛る鉱山 スコーチ Perceptionが大幅に増加する
R_Fallout76 2023_11_05 8_07_04.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション WO-R 敵派閥 プラッドイーグル 敵変異 スティングフロスト(ダブル) 氷結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_07 8_28_53.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 サヴェージ・ストライク(デフォルト) レベル50以上 18H チャールストン議事党 共産党員 攻撃していない間は身を隠す 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_08 9_29_57.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 17H バレー・ガレリア =とリリッン 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_11_10 9_40_52.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 17H バレー・ガレリア スコーチ 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_11_11 10_03_34.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 氷の手 サヴェージ・ストライク(デフォルト) レベル50以上 16H 燃え盛る鉱山 ロボット 攻撃時に標的を遅くする 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_12 6_34_21.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H Vault 94 スコーチ 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_11_13 9_12_10.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション アンキャニー洞窟 敵派閥 プラッドイーグル 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_14 8_59_02.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 18H ニン カルト教信者 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_11_16 7_04_01.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ガラハン鉱業本社 敵派閥 カルト教信者 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_11_18 7_25_18.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H ウエストテック研究センター エイリアン 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_11_19 10_19_00.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション Vault 96 敵派閥 スコーチ 敵変異 蒸気性(ダブプル) クローク能力があり、死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_19 10_19_11.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション Vault 96 敵派閥 スコーチ 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_20 8_14_23.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 18H ガラハン鉱業本社 ロボット 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_11_22 8_43_25.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 18H ワトガ・ハイスクール ロボット 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_11_24 10_08_37.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション 燃え盛る鉱山 敵派閥 プラッドイーグル 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_11_25 10_14_16.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 弾力性 サヴェージ・ストライク(デフォルト) レベル50以上 16H ワトガ・ハイスクール カルト教信者 近接攻撃でのみ倒せる 致命的なアーマー貫通攻撃
R_Fallout76 2023_11_26 9_35_39.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H =レルニンレス ウエストテック研究センター 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_11_28 8_36_13.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション ワトガ・ハイスクール 敵派閥 カルト教信者 La 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_11_30 8_17_25.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション アンキャニー洞窟 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する |
R_Fallout76 2023_12_02 13_02_55.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 | 敵変異 「 チリングメンド(ダブル) | 鋭い視線(デフォルト) レベル50以上 13H ワトガ・ハイスクール モールマイナー 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_12_04 8_28_02.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション ワトガ・ハイスクール 敵派閥 カルト教信者 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_06 8_41_49.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ニン 敵派閥 エイリアン 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_08 7_11_07.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 =とリリッン 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_12_10 7_09_18.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ガラハン鉱業本社 敵派閥 スコーチ 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_12 7_00_14.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 20H ワトガ・ハイスクール スーパーミュータント 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_12_16 8_01_33.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション チャールストン議事党 敵派閥 スコーチ 敵変異 毒雲(ダブル) クローク能力があり、 倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_18 9_10_36.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション パローズ 敵派閥 共産党員 敵変異 スティングフロスト(ダブル) 氷結攻撃し、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_19 8_59_37.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ワトガ・レイダーアリーナ 敵派閥 カルト教信者 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_12_20 8_00_06.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 19H アンキャニー洞窟 エイリアン 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_12_21 8_57_47.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ウエストテック研究センター 敵派閥 プラッドイーグル 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_12_22 6_59_35.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ガラハン鉱業本社 敵派閥 共産党員 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_23 9_58_53.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 サヴェージ・ストライク(デフォルト) レベル50以上 17H ワトガ・ハイスクール ロボット 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76 2023_12_24 8_16_27.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション パレー・ガレリア 敵派閥 モールマイナー 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_25 9_31_13.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション WO-X 敵派閥 スコーチ 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_12_26 9_01_41.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H =レルニンレス ワトガ・レイダーアリーナ 敵派閥 モールマイナー 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_12_27 8_12_54.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_12_28 13_28_42.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 13H チャールストン議事党 エイリアン 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_12_30 9_21_55.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション アークトス・ファーマ生態群研究所 敵派閥 スコーチ 敵変異 チリングメンド(ダブル) 周囲を回復し、氷結攻撃 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_03 6_28_36.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 レベル50以上 20H モーガンタウン・ハイスクール カルト教信者 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_05 8_49_22.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション モーガンタウン・ハイスクール 敵派閥 モールマイナー 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_07 7_47_21.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 プブラッドイーグル 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2024_01_09 8_37_30.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 18H ウエストテック研究センター ロボット 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_01_11 8_43_30.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 18H WO-X 共産党員 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_01_12 9_58_53.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション アンキャニー洞窟 敵派閥 エイリアン 敵変異 BEST) クローク能力があり、 倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_13 7_34_26.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 プラッドイーグル 素早く、死亡時に爆発 Perceptionが大幅に増加する Ly a
R_Fallout76 2024_01_14 8_08_02.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 スウィフト・ストーカー(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 18H WO-X スーパーミュータント クローク能力があり、 素早い 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_15 7_53_42.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション モーガンタウン・ハイスクール 敵派閥 共産党員 敵変異 毒雲(ダブル) クローク能力があり、 倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_17 7_23_53.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 19H ワトガ・ハイスクール カルト教信者 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2024_01_20 7_35_10.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション モーガンタウン・ハイスクール 敵派閥 スコーチ 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_20 7_35_17.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション モーガンタウン・ハイスクール 敵派閥 スコーチ 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_21 7_49_57.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 共産党員 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_22 8_57_40.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション パレー・ガレリア 敵派閥 プラッドイーグル 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_23 7_53_13.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 MER 鋭い視線(デフォルト) レベル50以上 19H アンキャニー洞窟 スーパーミュータント 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2024_01_24 8_58_08.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ウエストテック研究センター 敵派閥 ロボット 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_25 7_06_07.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 プラッドイーグル 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_26 7_18_30.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ( ロケーション WO-R | 敵派閥 共産党員 敵変異 スティングフロスト(ダブル) 氷結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_27 7_14_10.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 スコーチ 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_01_28 7_29_35.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション 燃え盛る鉱山 敵派閥 共産党員 敵変異 冷酷無比(ダブプル) 周囲を回復し、近接攻撃でしか倒されない サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_01_29 7_27_59.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 スーパーミュータント 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_01_31 9_06_30.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 17H WO-X =とリリッン 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_02_02 7_35_22.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 19H Vault 94 スコーチ ff 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2024_02_04 7_38_27.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H =レルニンレス ワトガ・レイダーアリーナ 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_06 8_06_38.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 18H アンキャニー洞窟 共産党員 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2024_02_07 7_44_18.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 サヴェージ・ストライク(デフォルト) レベル50以上 19H ワトガ・ハイスクール スコーチ 攻撃していない間は身を隠す 致命的なアーマー貫通攻撃
R_Fallout76 2024_02_08 7_18_50.png,"情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション パローズ 敵派閥 カルト教信者 , 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する"
R_Fallout76 2024_02_09 7_06_31.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション Vault 94 敵派閥 レニロン 敵変異 スティングフロスト(ダブル) 氷結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_02_10 6_16_16.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 20H ワトガ・レイダーアリーナ 共産党員 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2024_02_12 6_35_04.png,推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 20H アークトス・ファーマ生態群研究所 ロボット 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_02_13 9_07_45.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション アークトス・ファーマ生態群研究所 敵派閥 ロボット 敵変異 氷の手 攻撃時に標的を遅くする 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_14 7_21_47.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 デンジャークラウド 鋭い視線(デフォルト) レベル50以上 19H ワトガ・レイダーアリーナ ロボット 付近のプレイヤーのHPとAPを減少させる Perceptionが大幅に増加する
R_Fallout76 2024_02_16 7_34_26.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H =レルニンレス ウエストテック研究センター 敵派閥 共産党員 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_20 8_32_59.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 18H ワトガ・レイダーアリーナ =とリリッン 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2024_02_22 8_55_01.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ワトガ・レイダーアリーナ 敵派閥 カルト教信者 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_24 7_59_12.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション アークトス・ファーマ生態群研究所 敵派閥 エイリアン 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_26 7_15_15.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ウエストテック研究センター 敵派閥 プラッドイーグル 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_02_28 7_20_10.png,レゴ 情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ガラハン鉱業本社 敵派閥 プラッドイーグル 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_03_01 7_17_19.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H Vault 94 スコーチ 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2024_03_03 8_18_13.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション 燃え盛る鉱山 敵派閥 スーパーミュータント 敵変異 | 氷の手 攻撃時に標的を遅くする ) 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_03_05 8_57_01.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション アークトス・ファーマ生態群研究所 敵派閥 プラッドイーグル 敵変異 アクティブ迷彩 攻撃していない間は身を隠す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_03_07 7_09_16.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 19H ワトガ・ハイスクール 共産党員 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2024_03_09 7_11_01.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_03_10 7_31_06.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 チリングメンド(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 19H ワトガ・レイダーアリーナ カルト教信者 周囲を回復し、氷結攻撃 致命的なアーマー貫通攻撃
R_Fallout76 2024_03_11 9_30_07.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 17H アンキャニー洞窟 スーパーミュータント 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2024_03_13 7_10_45.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション バローズ 敵派閥 カルト教信者 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2024_03_15 7_07_50.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H Vault 96 カルト教信者 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2024_03_17 7_22_57.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション アンキャニー洞窟 敵派閥 エイリアン 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
